id	gerp_cat	n_total	n_genotyped	gerp_count_p	gerp_count_r	gerp_count_t	gerp_Lp	gerp_Lr	gerp_Lt
D154259	0-1	1016065	880915	140182	97532	237714	0.1591322658826334	0.11071669797880612	0.26984896386143953
D154259	1-2	536152	461738	73509	48160	121669	0.1592006722427004	0.10430157361967177	0.26350224586237214
D154259	2-3	421585	364039	56410	36774	93184	0.1549559250519862	0.10101664931504592	0.2559725743670321
D154259	3-4	536380	481434	71027	48342	119369	0.1475321643257435	0.10041251760365907	0.24794468192940258
D154259	4-5	404284	366751	48478	31509	79987	0.13218232533789956	0.08591387617211678	0.21809620151001632
D154280	0-1	1016065	977685	164909	106074	270983	0.16867293657977775	0.10849506742969361	0.27716800400947134
D154280	1-2	536152	522353	87589	53216	140805	0.16768162526107824	0.10187746600478986	0.2695590912658681
D154280	2-3	421585	410974	67692	40210	107902	0.16471114961043765	0.09784073931684242	0.2625518889272801
D154280	3-4	536380	526462	81788	51248	133036	0.15535404264695268	0.09734415779296511	0.2526982004399178
D154280	4-5	404284	398717	55285	33451	88736	0.13865724310726657	0.0838965983391729	0.22255384144643944
D154288	0-1	1016065	999189	169894	107849	277743	0.17003189586754858	0.10793653653112674	0.2779684323986753
D154288	1-2	536152	529248	89880	53265	143145	0.16982586613459097	0.10064279883910757	0.27046866497369854
D154288	2-3	421585	416172	69188	40297	109485	0.16624857030266332	0.09682775390944129	0.2630763242121046
D154288	3-4	536380	530460	83392	51263	134655	0.15720695245635863	0.09663876635373073	0.2538457188100894
D154288	4-5	404284	400576	55549	33443	88992	0.13867281115194122	0.08348727831922033	0.22216008947116153
D154299	0-1	1016065	924281	147770	103226	250996	0.15987562224042257	0.11168248617033132	0.2715581084107539
D154299	1-2	536152	487861	76270	51735	128005	0.15633551359916043	0.10604454957457145	0.26238006317373186
D154299	2-3	421585	384917	59650	39181	98831	0.1549684737229065	0.10179077567371667	0.25675924939662315
D154299	3-4	536380	503742	76172	49835	126007	0.15121232694514256	0.09892961079282649	0.25014193773796906
D154299	4-5	404284	384232	52892	32350	85242	0.13765641591538447	0.08419392450394553	0.22185034041933
D211308	0-1	1016065	978788	161455	108697	270152	0.16495400434006138	0.11105264878604969	0.27600665312611106
D211308	1-2	536152	521536	85231	54203	139434	0.16342304270462635	0.1039295465701313	0.26735258927475763
D211308	2-3	421585	410506	65700	41156	106856	0.1600463817824831	0.10025675629588848	0.2603031380783716
D211308	3-4	536380	525882	81054	51667	132721	0.1541296336440494	0.09824827622926817	0.2523779098733176
D211308	4-5	404284	398087	55152	33321	88473	0.13854257988831586	0.08370280868252417	0.22224538857084003
D211312	0-1	1016065	929793	150483	102917	253400	0.16184570113993116	0.11068807788400213	0.2725337790239333
D211312	1-2	536152	493748	78482	51630	130112	0.15895152993024783	0.1045675121722012	0.26351904210244903
D211312	2-3	421585	388510	60100	39406	99506	0.15469357288100694	0.10142853465805256	0.2561221075390595
D211312	3-4	536380	502348	75818	49646	125464	0.1509272456544069	0.09882790416205499	0.2497551498164619
D211312	4-5	404284	382021	52122	32351	84473	0.13643752568576073	0.08468382628180127	0.221121351967562
D211320	0-1	1016065	979929	159887	109417	269304	0.16316182090743309	0.1116580895146485	0.2748199104220816
D211320	1-2	536152	522408	84454	55267	139721	0.1616629148098804	0.1057927903094899	0.2674557051193703
D211320	2-3	421585	411163	64744	41644	106388	0.15746553070193572	0.10128343260458747	0.2587489633065232
D211320	3-4	536380	526954	81063	52184	133247	0.15383316190787052	0.09902951680791872	0.2528626787157892
D211320	4-5	404284	399065	55141	33480	88621	0.13817548519664716	0.08389610715046421	0.22207159234711138
D211334	0-1	1016065	767624	126274	82601	208875	0.16449980719727367	0.1076060675539066	0.27210587475118025
D211334	1-2	536152	408117	66797	41246	108043	0.16367120213076153	0.10106415562203976	0.26473535775280127
D211334	2-3	421585	323169	52099	31238	83337	0.1612128638576101	0.09666149909180645	0.25787436294941657
D211334	3-4	536380	421744	64652	40805	105457	0.15329678667627755	0.09675300656322319	0.2500497932395007
D211334	4-5	404284	315812	43006	25889	68895	0.13617595278203487	0.08197598571301913	0.21815193849505402
D211341	0-1	1016065	988376	161935	109890	271825	0.16383946999927154	0.11118238403198782	0.27502185403125934
D211341	1-2	536152	525322	84701	55284	139985	0.16123634646940352	0.10523831097879015	0.26647465744819365
D211341	2-3	421585	413280	64621	42119	106740	0.15636130468447543	0.1019139566395664	0.2582752613240418
D211341	3-4	536380	528514	80989	52302	133291	0.15323908165157404	0.09896048165233087	0.2521995633039049
D211341	4-5	404284	399883	54670	33850	88520	0.13671498913432178	0.08464976005481603	0.22136474918913782
D211349	0-1	1016065	983000	166648	107051	273699	0.16953001017293998	0.10890233977619532	0.2784323499491353
D211349	1-2	536152	523910	88390	53233	141623	0.16871218339027697	0.10160714626557997	0.2703193296558569
D211349	2-3	421585	412328	68025	40330	108355	0.1649778816864244	0.09781048097631012	0.26278836266273453
D211349	3-4	536380	527033	81981	51154	133135	0.15555192938582593	0.09706033588029592	0.25261226526612185
D211349	4-5	404284	398930	55106	33267	88373	0.13813450981375178	0.08339056977414584	0.22152507958789763
D211350	0-1	1016065	1000707	164447	110833	275280	0.1643308181115951	0.11075469642962425	0.2750855145412194
D211350	1-2	536152	529006	85301	55315	140616	0.16124769851381648	0.10456403140985168	0.26581172992366814
D211350	2-3	421585	416302	66249	42091	108340	0.1591368765943954	0.10110688874903315	0.2602437653434286
D211350	3-4	536380	530660	81645	52205	133850	0.15385557607507633	0.09837749217955	0.2522330682546263
D211350	4-5	404284	401006	55335	33526	88861	0.13799045400816945	0.08360473409375421	0.22159518810192366
D211374	0-1	1016065	993008	163153	109979	273132	0.1643017981728244	0.11075338768670545	0.2750551858595298
D211374	1-2	536152	526433	84777	54918	139695	0.16104043629483714	0.10432096772048864	0.26536140401532576
D211374	2-3	421585	414030	65414	41838	107252	0.15799338212206845	0.10105064850373162	0.25904403062580006
D211374	3-4	536380	529583	81621	51733	133354	0.15412314972346167	0.0976862928001843	0.25180944252364595
D211374	4-5	404284	400424	55331	33469	88800	0.1381810281102032	0.08358390106487124	0.22176492917507443
D211376	0-1	1016065	998239	162424	111271	273695	0.16271053324905158	0.11146729390456594	0.27417782715361755
D211376	1-2	536152	529039	85524	55047	140571	0.16165915934364009	0.10405093008265931	0.26571008942629937
D211376	2-3	421585	416062	65836	41905	107741	0.15823603212982681	0.10071816219698025	0.25895419432680705
D211376	3-4	536380	529972	79830	52435	132265	0.15063059935241863	0.09893918924018627	0.2495697885926049
D211376	4-5	404284	400280	53975	33971	87946	0.1348431098231238	0.08486809233536524	0.21971120215848905
D211385	0-1	1016065	927683	156270	100266	256536	0.16845193886273652	0.10808217893396775	0.2765341177967043
D211385	1-2	536152	503113	84806	51106	135912	0.16856252969014912	0.10157956562442234	0.27014209531457145
D211385	2-3	421585	396916	65270	39199	104469	0.1644428544074817	0.09875893136079171	0.2632017857682734
D211385	3-4	536380	514738	80431	49829	130260	0.1562561924707327	0.09680458796513955	0.2530607804358722
D211385	4-5	404284	392104	54627	32917	87544	0.13931763001652622	0.08394966641503275	0.223267296431559
D211401	0-1	1016065	949307	153747	105400	259147	0.16195709080413395	0.11102836068837584	0.2729854514925098
D211401	1-2	536152	511097	81200	54126	135326	0.1588739515199659	0.1059016194577546	0.2647755709777205
D211401	2-3	421585	402828	63357	40591	103948	0.15728052667639786	0.10076509080798753	0.25804561748438537
D211401	3-4	536380	519956	79398	51300	130698	0.15270138242466672	0.0986621944933802	0.2513635769180469
D211401	4-5	404284	395296	54173	33386	87559	0.1370441390755282	0.08445822877033919	0.2215023678458674
D211403	0-1	1016065	944189	158596	102520	261116	0.16797060757962654	0.10857995591984232	0.2765505634994689
D211403	1-2	536152	512712	86081	52047	138128	0.1678934762595765	0.10151313017834573	0.26940660643792225
D211403	2-3	421585	403748	66225	39509	105734	0.16402558031247214	0.0978555930927212	0.26188117340519335
D211403	3-4	536380	519010	81907	50166	132073	0.1578139149534691	0.09665709716575789	0.254471012119227
D211403	4-5	404284	393531	55105	32665	87770	0.14002708808200626	0.08300489669174728	0.22303198477375352
D211411	0-1	1016065	1001762	164900	110633	275533	0.16460995725531613	0.1104384075259393	0.27504836478125544
D211411	1-2	536152	530236	86377	54893	141270	0.16290293378797366	0.10352559992154436	0.266428533709518
D211411	2-3	421585	417097	66036	41773	107809	0.15832288412527543	0.1001517632589062	0.25847464738418163
D211411	3-4	536380	531010	81198	52327	133525	0.15291237453155307	0.09854240033144385	0.25145477486299694
D211411	4-5	404284	400879	55418	33545	88963	0.1382412149301909	0.08367861624081081	0.22191983117100172
D211412	0-1	1016065	989904	161729	109380	271109	0.1633784690232588	0.11049556320612908	0.2738740322293879
D211412	1-2	536152	524467	84384	54601	138985	0.1608947750764109	0.10410759876217188	0.26500237383858277
D211412	2-3	421585	413024	65153	41163	106316	0.15774628108778183	0.09966248934686604	0.2574087704346479
D211412	3-4	536380	527432	80990	51712	132702	0.15355533983527733	0.0980448664472387	0.25160020628251606
D211412	4-5	404284	398786	54893	33501	88394	0.13765026856509507	0.08400746264914014	0.2216577312142352
D211431	0-1	1016065	965574	157835	106384	264219	0.16346235503441475	0.11017695174062267	0.27363930677503745
D211431	1-2	536152	509342	81414	53197	134611	0.15984152102123916	0.10444259456318152	0.26428411558442066
D211431	2-3	421585	401221	62970	40184	103154	0.15694592257135095	0.1001542790631597	0.25710020163451064
D211431	3-4	536380	515137	78273	50554	128827	0.15194598718399183	0.0981370004484244	0.2500829876324162
D211431	4-5	404284	389615	53245	32646	85891	0.1366605495168307	0.08379040848016632	0.22045095799699704
D211435	0-1	1016065	1000055	161510	111641	273151	0.16150111743854087	0.11163486008269545	0.2731359775212363
D211435	1-2	536152	530497	84186	56361	140547	0.15869269760243696	0.10624188261196577	0.2649345802144027
D211435	2-3	421585	417039	65060	42470	107530	0.1560045942945384	0.10183699845817777	0.2578415927527162
D211435	3-4	536380	529682	80708	52240	132948	0.15237066768362906	0.0986252128635672	0.25099588054719624
D211435	4-5	404284	399679	54263	33745	88008	0.135766452578194	0.08443025527986209	0.2201967078580561
D211438	0-1	1016065	1001239	165627	109968	275595	0.16542204208985067	0.10983191825328419	0.2752539603431349
D211438	1-2	536152	530159	86980	54600	141580	0.1640639883506646	0.10298797153306838	0.267051959883733
D211438	2-3	421585	416967	66675	41531	108206	0.15990474066293017	0.09960260644127712	0.2595073471042073
D211438	3-4	536380	530925	81855	51939	133794	0.1541743184065546	0.09782737674812826	0.25200169515468285
D211438	4-5	404284	400977	55521	33585	89106	0.13846430094494197	0.08375792127728024	0.2222222222222222
D211445	0-1	1016065	887438	140573	98863	239436	0.15840317858825068	0.11140271207678734	0.269805890665038
D211445	1-2	536152	462727	73377	48261	121638	0.1585751425786695	0.10429691805319335	0.26287206063186286
D211445	2-3	421585	364971	56215	36885	93100	0.15402593630726824	0.10106282416959156	0.2550887604768598
D211445	3-4	536380	482519	70710	48718	119428	0.14654345217494028	0.10096597232440588	0.24750942449934615
D211445	4-5	404284	367695	48386	31634	80020	0.13159276030405634	0.08603326126273134	0.2176260215667877
D211450	0-1	1016065	995463	162357	111102	273459	0.16309697095723297	0.11160836716181315	0.2747053381190461
D211450	1-2	536152	527252	84232	55534	139766	0.15975662491560014	0.10532724389855325	0.2650838688141534
D211450	2-3	421585	414841	65463	41950	107413	0.15780262799482211	0.10112308089123302	0.25892570888605515
D211450	3-4	536380	530001	80501	52194	132695	0.15188839266341006	0.09847905947347269	0.2503674521368828
D211450	4-5	404284	400688	54939	33747	88686	0.13711166793115842	0.0842226370642495	0.2213343049954079
D211451	0-1	1016065	888525	143266	97336	240602	0.16124025773050843	0.10954784614951746	0.2707881038800259
D211451	1-2	536152	477301	75976	49327	125303	0.15917838009976934	0.10334568752212964	0.26252406762189895
D211451	2-3	421585	375630	58532	37929	96461	0.1558235497697202	0.10097436307004233	0.25679791283976255
D211451	3-4	536380	480234	72023	46959	118982	0.14997480394974116	0.09778358050450406	0.24775838445424522
D211451	4-5	404284	363822	49264	30479	79743	0.1354068747904195	0.08377448312636399	0.21918135791678348
D211456	0-1	1016065	766919	122228	83451	205679	0.15937537080187086	0.10881331666055997	0.26818868746243085
D211456	1-2	536152	413043	65348	42411	107759	0.15821113056025643	0.1026793820498108	0.26089051261006724
D211456	2-3	421585	325888	50251	32155	82406	0.15419714748625293	0.09866886783189316	0.2528660153181461
D211456	3-4	536380	426281	63608	41698	105306	0.14921612739014875	0.09781810589728372	0.24703423328743246
D211456	4-5	404284	326535	43595	27312	70907	0.13350789348768127	0.08364187606229041	0.21714976954997167
D211461	0-1	1016065	996059	161589	111020	272609	0.1622283418954098	0.11145926094739368	0.27368760284280347
D211461	1-2	536152	527690	84846	55018	139864	0.16078758361917034	0.10426197199113116	0.2650495556103015
D211461	2-3	421585	415034	65279	41982	107261	0.1572859091062419	0.10115315853640906	0.25843906764265095
D211461	3-4	536380	529925	80758	52238	132996	0.15239515025711187	0.09857621361513422	0.25097136387224606
D211461	4-5	404284	400437	54859	33735	88594	0.1369978298708661	0.08424546183294751	0.22124329170381357
D211474	0-1	1016065	929480	152972	101929	254901	0.16457804363730258	0.1096623918750269	0.27424043551232946
D211474	1-2	536152	500467	81942	51573	133515	0.1637310751757858	0.10304975153206905	0.26678082670785486
D211474	2-3	421585	395012	62612	39574	102186	0.15850657701538182	0.10018429819853573	0.25869087521391754
D211474	3-4	536380	514113	79104	50254	129358	0.15386500633129294	0.09774893846294491	0.2516139447942378
D211474	4-5	404284	392265	54146	32758	86904	0.13803423705913095	0.08350987215275388	0.22154410921188483
D211478	0-1	1016065	1000177	163403	111303	274706	0.16337408278734664	0.11128330285539459	0.2746573856427412
D211478	1-2	536152	529036	84166	56238	140404	0.15909314299972024	0.1063027846876205	0.26539592768734077
D211478	2-3	421585	416339	64762	42549	107311	0.1555511254050185	0.10219796848241457	0.25774909388743306
D211478	3-4	536380	530544	81047	52220	133267	0.1527620706293917	0.09842727464640068	0.2511893452757924
D211478	4-5	404284	400824	54454	33882	88336	0.13585513841486538	0.08453086641518472	0.2203860048300501
D211482	0-1	1016065	999912	164367	110112	274479	0.16438146556897007	0.11012169070878237	0.27450315627775246
D211482	1-2	536152	529592	85894	55121	141015	0.1621890058762217	0.10408201030227043	0.26627101617849214
D211482	2-3	421585	416518	65585	41771	107356	0.1574601817928637	0.10028618210977677	0.25774636390264044
D211482	3-4	536380	530050	81262	51914	133176	0.15331006508819922	0.0979417036128667	0.2512517687010659
D211482	4-5	404284	400139	54689	33639	88328	0.13667500543561112	0.084068286270521	0.2207432917061321
D211489	0-1	1016065	993388	160981	111753	272734	0.1620524910709612	0.11249682903356996	0.27454932010453115
D211489	1-2	536152	528256	84176	56018	140194	0.15934698328083355	0.10604328204506906	0.2653902653259026
D211489	2-3	421585	414849	64503	42493	106996	0.15548548990114475	0.10243004081002967	0.2579155307111744
D211489	3-4	536380	525381	78756	52531	131287	0.1499026420826029	0.09998648599778066	0.24988912808038358
D211489	4-5	404284	396697	53428	33981	87409	0.1346821377524912	0.08565983609656741	0.2203419738490586
D211490	0-1	1016065	965137	159093	106070	265163	0.1648398103067233	0.109901495849812	0.2747413061565353
D211490	1-2	536152	515666	84197	53702	137899	0.16327816842684995	0.10414105254176152	0.2674192209686115
D211490	2-3	421585	406406	64352	40754	105106	0.15834411893525194	0.10027903131351407	0.25862315024876603
D211490	3-4	536380	523371	79891	51664	131555	0.1526469750903279	0.09871391422146049	0.2513608893117884
D211490	4-5	404284	397108	54464	33708	88172	0.13715160611219115	0.08488370921764356	0.2220353153298347
D217810	0-1	1016065	989740	163202	109493	272695	0.16489381049568574	0.110628043728656	0.2755218542243417
D217810	1-2	536152	525523	85252	55217	140469	0.16222315674099896	0.10507056779627152	0.2672937245372705
D217810	2-3	421585	413740	65642	42098	107740	0.1586551940832407	0.10174989123604196	0.26040508531928264
D217810	3-4	536380	528422	81013	52073	133086	0.15331117932258687	0.09854434523922169	0.25185552456180854
D217810	4-5	404284	399673	55281	33382	88663	0.1383155729809119	0.08352328028163024	0.22183885326254213
D217818	0-1	1016065	956687	153032	106754	259786	0.15996036321179236	0.11158717532484501	0.2715475385366374
D217818	1-2	536152	512222	80149	54435	134584	0.15647316983651618	0.10627228037842966	0.2627454502149459
D217818	2-3	421585	403567	62163	41210	103373	0.15403390267291428	0.10211439488362527	0.25614829755653956
D217818	3-4	536380	521215	79575	51392	130967	0.15267212186909432	0.0986003856374049	0.2512725075064992
D217818	4-5	404284	396045	54477	33500	87977	0.1375525508464947	0.08458634751101517	0.22213889835750988
D217821	0-1	1016065	961481	162927	103910	266837	0.16945420658338542	0.10807285843402002	0.27752706501740543
D217821	1-2	536152	511926	85929	51924	137853	0.16785433832233565	0.1014287221199939	0.2692830604423296
D217821	2-3	421585	402696	66264	39285	105549	0.1645509267536802	0.09755497943858395	0.26210590619226415
D217821	3-4	536380	513299	80493	49731	130224	0.15681503373277564	0.09688505140278862	0.25370008513556425
D217821	4-5	404284	387345	54306	31758	86064	0.14020059636757928	0.0819889246020989	0.2221895209696782
D217831	0-1	1016065	889368	141653	98563	240216	0.1592737764345018	0.11082364105747003	0.2700974174919718
D217831	1-2	536152	464962	73100	48989	122089	0.15721714892829952	0.10536129834266027	0.2625784472709598
D217831	2-3	421585	366104	56318	37037	93355	0.15383060551100233	0.10116524266328694	0.2549958481742893
D217831	3-4	536380	485630	73313	47695	121008	0.15096472623190496	0.09821263101538208	0.24917735724728704
D217831	4-5	404284	371295	50865	31165	82030	0.13699349573789035	0.08393595389111085	0.2209294496290012
D217835	0-1	1016065	899551	145268	99586	244854	0.16148945418325364	0.11070634127470261	0.27219579545795625
D217835	1-2	536152	489033	77744	51389	129133	0.15897495670026357	0.10508288806685848	0.2640578447671221
D217835	2-3	421585	385415	59978	38979	98957	0.15561926754277855	0.10113514004384884	0.2567544075866274
D217835	3-4	536380	493220	74857	48609	123466	0.1517720287092981	0.0985543976318884	0.2503264263411865
D217835	4-5	404284	374191	51055	31281	82336	0.13644101541726017	0.08359634518200598	0.22003736059926615
D217864	0-1	1016065	966647	159222	106232	265454	0.1647157649069412	0.10989740825761628	0.27461317316455747
D217864	1-2	536152	517259	83667	54049	137716	0.1617506896931711	0.1044911736673504	0.2662418633605215
D217864	2-3	421585	407687	64600	41224	105824	0.15845489309200442	0.10111678812422276	0.25957168121622715
D217864	3-4	536380	524192	81099	51316	132415	0.15471239545815274	0.09789542762957085	0.25260782308772356
D217864	4-5	404284	397663	55380	33032	88412	0.13926364786263745	0.08306530906823115	0.2223289569308686
D217870	0-1	1016065	989316	162833	109290	272123	0.16459149553833152	0.11047026430382204	0.2750617598421536
D217870	1-2	536152	525716	85823	54482	140305	0.16324973940302367	0.10363390119380045	0.2668836405968241
D217870	2-3	421585	413625	65597	41530	107127	0.1585905107283167	0.10040495618011484	0.25899546690843156
D217870	3-4	536380	528884	81037	52056	133093	0.15322263483107826	0.09842611990531006	0.2516487547363883
D217870	4-5	404284	400102	54716	33800	88516	0.13675512744250215	0.08447845799321173	0.2212335854357139
D217891	0-1	1016065	862352	140300	93981	234281	0.16269458411414364	0.10898217897100024	0.2716767630851439
D217891	1-2	536152	450176	72248	46281	118529	0.16048834233721923	0.10280645791868069	0.2632948002558999
D217891	2-3	421585	355185	56099	35360	91459	0.1579430437659248	0.09955375367766094	0.2574967974435857
D217891	3-4	536380	470153	72175	45548	117723	0.1535138561276861	0.09687910105859157	0.25039295718627763
D217891	4-5	404284	355577	48866	29531	78397	0.13742733641377256	0.08305092849087539	0.22047826490464795
D217896	0-1	1016065	914961	151863	99003	250866	0.16597756625692242	0.10820461199985573	0.27418217825677815
D217896	1-2	536152	478399	79015	48628	127643	0.16516547902483072	0.10164736966423425	0.26681284868906496
D217896	2-3	421585	377083	61067	36772	97839	0.16194577851560532	0.09751699228021417	0.2594627707958195
D217896	3-4	536380	497257	76950	48172	125122	0.1547489527548129	0.09687545876679464	0.2516244115216075
D217896	4-5	404284	379234	52520	31566	84086	0.13848969237990263	0.083236207723991	0.22172590010389365
D217897	0-1	1016065	894116	143195	98743	241938	0.160152597649522	0.11043645343557212	0.2705890510850941
D217897	1-2	536152	464057	73430	48442	121872	0.15823487200925748	0.10438803853836921	0.2626229105476267
D217897	2-3	421585	366241	56852	36658	93510	0.15523111830734407	0.10009256200152358	0.25532368030886765
D217897	3-4	536380	487686	73813	47926	121739	0.1513535348564445	0.0982722489470684	0.2496257838035129
D217897	4-5	404284	373659	51355	31274	82629	0.13743814547488487	0.08369663249112158	0.22113477796600645
D217910	0-1	1016065	927697	149312	102818	252130	0.16094910299375767	0.11083144604326628	0.2717805490370239
D217910	1-2	536152	487147	77083	51004	128087	0.15823355167947253	0.10469940284965318	0.2629329545291257
D217910	2-3	421585	383842	59685	38729	98414	0.15549366666492984	0.10089828627403984	0.25639195293896966
D217910	3-4	536380	501107	74771	49991	124762	0.14921164541704665	0.0997611288607024	0.24897277427774905
D217910	4-5	404284	381597	50651	32945	83596	0.13273427201995822	0.0863345361729783	0.21906880819293653
D217911	0-1	1016065	934584	152131	102618	254749	0.1627793756366469	0.10980072417246604	0.2725800998091129
D217911	1-2	536152	494468	79694	51175	130869	0.16117119813617867	0.10349506944837684	0.2646662675845555
D217911	2-3	421585	389385	61609	38561	100170	0.1582212976873788	0.09903052249059414	0.25725182017797293
D217911	3-4	536380	503653	76292	49633	125925	0.15147730679654445	0.09854602275773201	0.2500233295542765
D217911	4-5	404284	381086	51528	32334	83862	0.13521357383897598	0.08484698991828617	0.22006056375726213
D217932	0-1	1016065	847054	137239	92498	229737	0.16201918649814534	0.10919964960911582	0.27121883610726116
D217932	1-2	536152	467298	74601	48849	123450	0.15964331112052693	0.10453500763966463	0.26417831876019154
D217932	2-3	421585	368544	57400	36985	94385	0.15574802465919946	0.10035436745680298	0.25610239211600244
D217932	3-4	536380	478969	72977	46939	119916	0.15236267900427794	0.0980000793370761	0.250362758341354
D217932	4-5	404284	365609	50322	30615	80937	0.1376388436827321	0.0837369977216097	0.2213758414043418
D217947	0-1	1016065	839157	138512	90945	229457	0.16506088848689815	0.10837662082304027	0.27343750930993843
D217947	1-2	536152	453419	74384	46399	120783	0.16405135206067678	0.10233139766970506	0.26638274973038184
D217947	2-3	421585	357432	57534	35069	92603	0.16096488283086013	0.09811376709416057	0.2590786499250207
D217947	3-4	536380	465245	71718	45408	117126	0.15415103870003977	0.0976001891476534	0.25175122784769316
D217947	4-5	404284	352131	48470	29377	77847	0.13764763681698006	0.08342633849334481	0.22107397531032486
D217949	0-1	1016065	996154	168479	108622	277101	0.1691294719491163	0.10904137312102345	0.2781708450701398
D217949	1-2	536152	527583	88287	53905	142192	0.1673423897282513	0.1021734968715823	0.26951588659983355
D217949	2-3	421585	415057	68613	40408	109021	0.165309824915614	0.097355303006575	0.262665127922189
D217949	3-4	536380	529463	82731	51320	134051	0.15625454469906302	0.09692839726288711	0.2531829419619501
D217949	4-5	404284	400006	55192	33466	88658	0.13797793033104502	0.08366374504382434	0.22164167537486937
D217961	0-1	1016065	923444	150287	102574	252861	0.16274619792862371	0.1110776614499634	0.2738238593785871
D217961	1-2	536152	493743	79392	51495	130887	0.1607962036930144	0.10429514950085368	0.26509135319386806
D217961	2-3	421585	389044	60976	38963	99939	0.1567329145289479	0.10015062563617483	0.2568835401651227
D217961	3-4	536380	500932	75958	49446	125404	0.1516333554254869	0.09870800827257992	0.2503413636980668
D217961	4-5	404284	378633	51782	31906	83688	0.13676039859177622	0.0842662948026189	0.2210266933943951
D217964	0-1	1016065	996922	168315	108111	276426	0.1688346731238753	0.10844479307307894	0.2772794661969542
