id	gerp_cat	n_total	n_genotyped	gerp_count_t_v2	gerp_Lt_additive
D229676	4-5	404284	399749	61183.5	0.1530547918819059
D229679	0-1	1016065	887262	169141	0.19063253018837728
D229679	1-2	536152	470237	86472.5	0.1838913143797702
D229679	2-3	421585	370736	66150.5	0.1784302037029045
D229679	3-4	536380	479997	83271.5	0.17348337593776628
D229679	4-5	404284	361744	54857.5	0.15164729753637932
D229705	0-1	1016065	948942	182073.5	0.19186999837714003
D229705	1-2	536152	503357	92743	0.1842489525326955
D229705	2-3	421585	396105	70906.5	0.17900935358049003
D229705	3-4	536380	510832	89229	0.17467386538039903
D229705	4-5	404284	387056	59011.5	0.15246243437642099
D229707	0-1	1016065	975680	187619.5	0.1922961421777632
D229707	1-2	536152	515057	95082	0.18460481072968624
D229707	2-3	421585	405451	72452	0.17869483612076428
D229707	3-4	536380	522803	91504.5	0.17502673091011337
D229707	4-5	404284	396487	60413.5	0.15237195670980386
D229714	0-1	1016065	934368	179291.5	0.19188531713414844
D229714	1-2	536152	502151	92737.5	0.18468050446977105
D229714	2-3	421585	395447	70595.5	0.17852076258006763
D229714	3-4	536380	506059	88100.5	0.17409136088875013
D229714	4-5	404284	382431	58316.5	0.1524889457183126
D229716	0-1	1016065	991919	190707	0.1922606583803718
D229716	1-2	536152	524825	97287	0.1853703615490878
D229716	2-3	421585	412954	74159	0.17958174518227213
D229716	3-4	536380	526454	91909	0.17458125496244686
D229716	4-5	404284	397329	60554.5	0.1524039272240385
D229718	0-1	1016065	995383	191878.5	0.192768512220924
D229718	1-2	536152	526880	97413	0.18488650167020954
D229718	2-3	421585	414562	74178	0.17893101634978603
D229718	3-4	536380	528321	92272	0.17465139564772175
D229718	4-5	404284	398717	60725	0.15230100547506126
D229721	0-1	1016065	991380	191522.5	0.19318777865198006
D229721	1-2	536152	524635	97141.5	0.18516015896766322
D229721	2-3	421585	412768	74136	0.17960694627490503
D229721	3-4	536380	527065	92258.5	0.17504197774468044
D229721	4-5	404284	398617	60976	0.15296888993695704
D229734	0-1	1016065	980095	188575.5	0.19240532805493346
D229734	1-2	536152	518490	96206	0.18555034812628982
D229734	2-3	421585	408092	73222.5	0.17942645285866912
D229734	3-4	536380	522483	91045.5	0.17425543032022095
D229734	4-5	404284	394960	60173.5	0.15235340287624063
D229735	0-1	1016065	898012	171350.5	0.19081092457561813
D229735	1-2	536152	476895	87493	0.1834638652114197
D229735	2-3	421585	376463	67254.5	0.17864836650613738
D229735	3-4	536380	492333	85704	0.17407730133872806
D229735	4-5	404284	374617	57186.5	0.15265324317903353
D229737	0-1	1016065	1000317	192825.5	0.19276439368720116
D229737	1-2	536152	530688	98403.5	0.18542627683309212
D229737	2-3	421585	417219	75118	0.18004453296709882
D229737	3-4	536380	530213	92754	0.17493724220266194
D229737	4-5	404284	399805	61205.5	0.15308838058553545
D229740	0-1	1016065	948602	181815	0.1916662625632246
D229740	1-2	536152	499664	92095	0.18431385891318966
D229740	2-3	421585	393475	70588.5	0.1793976745663638
D229740	3-4	536380	512848	89459	0.1744357002464668
D229740	4-5	404284	390864	59669.5	0.15266051618977444
D229742	0-1	1016065	968920	186249	0.19222330016926062
D229742	1-2	536152	515551	95599	0.1854307333319109
D229742	2-3	421585	405661	73070.5	0.18012700259576345
D229742	3-4	536380	518180	90590.5	0.17482438534872052
D229742	4-5	404284	391571	59821.5	0.15277306031345528
D229753	0-1	1016065	973746	186932.5	0.19197254725564983
D229753	1-2	536152	513782	94927.5	0.18476221432436324
D229753	2-3	421585	404521	72383	0.1789350861883561
D229753	3-4	536380	520437	90913.5	0.17468684970515164
D229753	4-5	404284	394595	60308	0.15283518544330263
D229759	0-1	1016065	972656	187193	0.19245550328173577
D229759	1-2	536152	514237	94933	0.18460943105999764
D229759	2-3	421585	404938	72790.5	0.17975714800784318
D229759	3-4	536380	520661	91262	0.17528103698951908
D229759	4-5	404284	394518	60295	0.15283206342929853
D229770	0-1	1016065	927164	177610.5	0.19156319701800328
D229770	1-2	536152	487895	89688	0.1838264380655674
D229770	2-3	421585	384382	68466	0.17811968302365874
D229770	3-4	536380	498379	86845.5	0.1742559377501861
D229770	4-5	404284	376309	57173.5	0.15193232157615152
D229771	0-1	1016065	981529	188766	0.19231831153231335
D229771	1-2	536152	519695	96095.5	0.1849074938184897
D229771	2-3	421585	408946	73458.5	0.17962885075291113
D229771	3-4	536380	520597	90794.5	0.17440457782123217
D229771	4-5	404284	392378	59735.5	0.15223967704611369
D229772	0-1	1016065	827850	156578	0.1891381288880836
D229772	1-2	536152	427258	78025	0.18261799662030903
D229772	2-3	421585	337568	59991.5	0.177716785951275
D229772	3-4	536380	466863	81131.5	0.17378010251401374
D229772	4-5	404284	363565	55167	0.15173902878439893
D229775	0-1	1016065	906156	172943.5	0.19085400306349018
D229775	1-2	536152	485870	89436.5	0.18407495832218496
D229775	2-3	421585	382665	68149	0.17809049690982975
D229775	3-4	536380	490656	85270	0.17378774538576924
D229775	4-5	404284	370882	56333.5	0.1518906282860856
D229776	0-1	1016065	985810	189442.5	0.19216938355261157
D229776	1-2	536152	521314	96373.5	0.18486651039488677
D229776	2-3	421585	410394	73530.5	0.17917050444207275
D229776	3-4	536380	522023	91272	0.1748428709079868
D229776	4-5	404284	393603	59950	0.1523108309641949
D229777	0-1	1016065	999468	193063.5	0.19316626445268884
D229777	1-2	536152	529522	98346.5	0.18572693863522197
D229777	2-3	421585	416451	74939.5	0.1799479410542897
D229777	3-4	536380	530228	92943.5	0.1752896867008155
D229777	4-5	404284	400330	61013.5	0.1524080133889541
D229780	0-1	1016065	974561	186859.5	0.19173710008916836
D229780	1-2	536152	514451	94773.5	0.18422259845932848
D229780	2-3	421585	405149	72514.5	0.17898230033888768
D229780	3-4	536380	521238	91054.5	0.1746889137016104
D229780	4-5	404284	395163	60315	0.15263321717873385
D229783	0-1	1016065	971444	186496.5	0.19197864210391952
D229783	1-2	536152	513854	94839	0.1845640979733543
D229783	2-3	421585	404321	72307.5	0.17883686476834001
D229783	3-4	536380	517836	90335.5	0.17444808781158513
D229783	4-5	404284	391210	59629.5	0.15242325093939316
D229784	0-1	1016065	922673	176954.5	0.19178463009105068
D229784	1-2	536152	492263	91318	0.18550652801449632
D229784	2-3	421585	387535	69561	0.1794960455184693
D229784	3-4	536380	500960	87616.5	0.17489719738102844
D229784	4-5	404284	380710	58114.5	0.15264768458931996
D237206	0-1	1016065	1001435	192672	0.19239591186647162
D237206	1-2	536152	529631	97840.5	0.18473333320745952
D237206	2-3	421585	416617	74661.5	0.1792089617082356
D237206	3-4	536380	530581	92824.5	0.17494878256100388
D237206	4-5	404284	400665	61172	0.15267617585763668
D237232	0-1	1016065	980790	188669	0.19236431855952854
D237232	1-2	536152	517265	95618.5	0.18485399166771385
D237232	2-3	421585	407490	73243.5	0.17974306117941544
D237232	3-4	536380	524111	91757	0.17507169282842758
D237232	4-5	404284	397031	60742	0.15299057252456358
D237233	0-1	1016065	945457	181213	0.19166709855657105
D237233	1-2	536152	497061	91856	0.18479824407869458
D237233	2-3	421585	391595	70010.5	0.17878292623756686
D237233	3-4	536380	510537	89116.5	0.1745544397369828
D237233	4-5	404284	389184	59646.5	0.15326041152770925
D237235	0-1	1016065	996351	192171	0.19287480014573177
D237235	1-2	536152	526658	97599.5	0.1853185558749701
D237235	2-3	421585	414429	74366	0.1794420757234653
D237235	3-4	536380	529073	92564	0.1749550629119233
D237235	4-5	404284	399926	60888.5	0.15224941614198625
D237258	0-1	1016065	949605	181965	0.19162177958203674
D237258	1-2	536152	502420	92467.5	0.18404422594641934
D237258	2-3	421585	395931	70937.5	0.17916631938393307
D237258	3-4	536380	511869	89164.5	0.17419398322617702
D237258	4-5	404284	388906	59210.5	0.1522488724781824
D237276	0-1	1016065	894379	170965.5	0.19115553920653325
D237276	1-2	536152	479505	87991	0.1835038216494093
D237276	2-3	421585	377726	67184.5	0.17786570159321838
D237276	3-4	536380	483759	83764	0.1731523341167813
D237276	4-5	404284	366815	55447	0.151157940651282
D237277	0-1	1016065	949639	182884	0.19258265509314593
D237277	1-2	536152	507954	93883.5	0.18482677565291344
D237277	2-3	421585	400022	71770	0.17941513216773078
D237277	3-4	536380	512472	89712.5	0.17505834465102485
D237277	4-5	404284	387520	59050	0.15237923203963666
D237278	0-1	1016065	995788	191625	0.19243553848811193
D237278	1-2	536152	526646	97442.5	0.1850246655248497
D237278	2-3	421585	414236	74255	0.17925771782269045
D237278	3-4	536380	528907	92410	0.17471880689799907
D237278	4-5	404284	399482	60986	0.15266269819416145
D237300	0-1	1016065	983204	189443	0.1926792405238384
D237300	1-2	536152	519123	95983.5	0.18489548719667592
D237300	2-3	421585	408582	73211.5	0.17918434977556524
D237300	3-4	536380	523998	91447.5	0.17451879587326669
D237300	4-5	404284	396778	60542.5	0.15258532479119305
D237304	0-1	1016065	904842	172368.5	0.19049568875008013
D237304	1-2	536152	472346	86576.5	0.18329042693279926
D237304	2-3	421585	372216	66575	0.17886119887377222
D237304	3-4	536380	493500	85954.5	0.17417325227963526
D237304	4-5	404284	378765	57895.5	0.15285335234248149
D237307	0-1	1016065	933086	178189.5	0.19096792792947273
D237307	1-2	536152	500874	92510	0.18469714938287873
D237307	2-3	421585	394821	70545.5	0.17867717269344843
D237307	3-4	536380	507788	88795	0.17486628277942765
D237307	4-5	404284	384902	58686.5	0.15247127840333383
D237310	0-1	1016065	894788	170753	0.19083067721069125
D237310	1-2	536152	466518	85647	0.1835877715329312
D237310	2-3	421585	367578	65400.5	0.17792278101518588
D237310	3-4	536380	489753	85027.5	0.17361302534134554
D237310	4-5	404284	376032	57171	0.1520375925453153
D237311	0-1	1016065	941326	180298.5	0.19153672585268017
D237311	1-2	536152	498941	91943.5	0.18427729931995968
D237311	2-3	421585	392972	70082	0.17833840578972548
D237311	3-4	536380	503513	87407.5	0.1735953192866917
D237311	4-5	404284	381566	58152	0.15240351603654415
D237313	0-1	1016065	999140	192844	0.19300998859018756
D237313	1-2	536152	528909	98422	0.18608494088775196
D237313	2-3	421585	416215	74714.5	0.17950938817678364
D237313	3-4	536380	530210	92965.5	0.17533713057090586
D237313	4-5	404284	400380	61163	0.1527623757430441
D237325	0-1	1016065	992474	191187	0.19263678443969312
D237325	1-2	536152	524468	97042	0.18502940122180953
D237325	2-3	421585	412591	73764.5	0.17878358955963655
D237325	3-4	536380	527986	92138	0.17450841499585215
D237325	4-5	404284	399204	60933.5	0.15263749862225828
D237327	0-1	1016065	961031	184601	0.19208641552665834
D237327	1-2	536152	504955	93213.5	0.18459763741323484
D237327	2-3	421585	397734	71071.5	0.17869103471164144
D237327	3-4	536380	515260	90099.5	0.17486220548849124
D237327	4-5	404284	391373	59519.5	0.15207870752453542
D237337	0-1	1016065	993045	191574.5	0.1929162323963164
D237337	1-2	536152	524729	97188	0.18521560653213373
D237337	2-3	421585	412974	74026	0.17925099400930808
D237337	3-4	536380	528222	92308.5	0.1747532287560912
D237337	4-5	404284	399506	61083	0.1528963269638003
D237339	0-1	1016065	974791	187656	0.19250895833055495
D237339	1-2	536152	511829	94648	0.18492113576995442
D237339	2-3	421585	402965	72093.5	0.17890759743402032
D237339	3-4	536380	522063	91488	0.17524321777256768
D237339	4-5	404284	396854	60698.5	0.15294919542199398
D237340	0-1	1016065	984188	189236	0.1922762724194971
D237340	1-2	536152	518644	95787.5	0.18468834113573088
D237340	2-3	421585	408373	72971	0.1786871316174184
D237340	3-4	536380	525199	91531	0.17427870197772655
D237340	4-5	404284	397620	60939	0.15325939339067451
D237352	0-1	1016065	919522	176144.5	0.19156094144566416
D237352	1-2	536152	486255	89489.5	0.18403821040400614
D237352	2-3	421585	382962	68493.5	0.17885194875731797
D237352	3-4	536380	499656	87347	0.17481427221928686
D237352	4-5	404284	381224	58007.5	0.15216119656684785
D237355	0-1	1016065	954740	182746.5	0.19140970316525965
D237355	1-2	536152	503000	92641	0.1841769383697813
D237355	2-3	421585	396275	70746.5	0.17852879944482997
D237355	3-4	536380	514269	89779.5	0.17457692375002187
D237355	4-5	404284	390992	59588	0.15240209518353318
D237360	0-1	1016065	998968	192625	0.19282399436218178
D237360	1-2	536152	529787	98036	0.18504795323403556
D237360	2-3	421585	416586	74790.5	0.1795319573869501
D237360	3-4	536380	530196	92606	0.17466370926977948
D237360	4-5	404284	400282	61200.5	0.15289346011062202
D237361	0-1	1016065	930160	178483.5	0.1918847295089017
D237361	1-2	536152	490923	90485	0.18431607400753275
D237361	2-3	421585	386739	69390	0.1794233320146145
D237361	3-4	536380	505849	88843.5	0.17563245158140078
D237361	4-5	404284	386089	59130	0.1531512164293725
D237369	0-1	1016065	949565	181806.5	0.19146293302722825
D237369	1-2	536152	499042	92011	0.1843752630039155
D237369	2-3	421585	393072	70610	0.1796363007286197
D237369	3-4	536380	511013	88912.5	0.17399263815206267
D237369	4-5	404284	389408	59296.5	0.15227345098200346
D237370	0-1	1016065	937141	179002.5	0.19100914376812028
D237370	1-2	536152	499361	92069	0.1843736294984991
D237370	2-3	421585	393243	70142	0.17836808283936395
D237370	3-4	536380	505917	88295	0.1745246749960962
D237370	4-5	404284	383420	58259.5	0.15194695112409368
D237371	0-1	1016065	960264	183973	0.19158585555638866
D237371	1-2	536152	507446	93610.5	0.18447381593312392
D237371	2-3	421585	399583	71613	0.17921933615794466
D237371	3-4	536380	514978	89788	0.17435307916066317
D237371	4-5	404284	390526	59625.5	0.15267997521291796
D237378	0-1	1016065	968361	185811	0.1918819531145926
D237378	1-2	536152	512253	94664	0.18479930815436904
D237378	2-3	421585	402969	72490	0.1798897681955684
D237378	3-4	536380	516649	89778	0.17376981277424325
D237378	4-5	404284	391248	59645	0.15244806363227417
D237379	0-1	1016065	811429	153792.5	0.18953291045796983
D237379	1-2	536152	427124	77969	0.18254417920791152
D237379	2-3	421585	337649	60174.5	0.17821613569120595
D237379	3-4	536380	456898	79284.5	0.17352778957228965
D237379	4-5	404284	352299	53519	0.15191357341349251
D237385	0-1	1016065	979083	188511.5	0.1925388348076721
D237385	1-2	536152	517194	95557.5	0.1847614241464518
D237385	2-3	421585	406950	72907.5	0.17915591596019168
D237385	3-4	536380	521224	90826.5	0.1742561739290593
D237385	4-5	404284	393999	60307.5	0.15306510930230788
D237389	0-1	1016065	917711	174969.5	0.1906586060317464
D237389	1-2	536152	484980	89122.5	0.183765309909687
D237389	2-3	421585	381544	67794	0.17768330782295097
D237389	3-4	536380	493706	85785.5	0.17375826909132155
D237389	4-5	404284	372559	56426	0.1514552057526459
D237391	0-1	1016065	991590	191366.5	0.19298954204862898
D237391	1-2	536152	526715	97695.5	0.18548076284138482
D237391	2-3	421585	414045	74429.5	0.17976186163339733
D237391	3-4	536380	524624	91768	0.17492146756534205
D237391	4-5	404284	395658	60269.5	0.152327262433718
D237394	0-1	1016065	944127	181364.5	0.19209756738235428
D237394	1-2	536152	503417	93091	0.18491826855271076
D237394	2-3	421585	396412	71192.5	0.17959219196189824
D237394	3-4	536380	509643	89073	0.1747752838751832
D237394	4-5	404284	385664	58731	0.15228540906073681
D243901	0-1	1016065	999849	192836	0.19286512263351765
D243901	1-2	536152	529109	98304	0.1857915854767165
D243901	2-3	421585	416097	74975.5	0.18018755242167092
D243901	3-4	536380	530134	92521	0.1745237996431091
D243901	4-5	404284	400223	61059	0.15256244643611186
D243906	0-1	1016065	935920	179728.5	0.19203404137105737
D243906	1-2	536152	503530	93032	0.18475959724346117
D243906	2-3	421585	395642	70853.5	0.17908487976504012
D243906	3-4	536380	500007	86971	0.17393956484609216
D243906	4-5	404284	376745	57140.5	0.15166890071533795
D243907	0-1	1016065	991250	191539	0.1932297604035309
D243907	1-2	536152	528077	98097.5	0.18576362916771608
D243907	2-3	421585	414885	74630.5	0.17988237704424118
D243907	3-4	536380	524957	91627	0.1745419148615982
D243907	4-5	404284	395606	60479	0.15287685222165487
D243916	0-1	1016065	1000905	193715	0.19353984643897273
D243916	1-2	536152	530106	98509	0.18582887196145675
D243916	2-3	421585	416845	75112.5	0.18019287744845205
D243916	3-4	536380	530206	92924	0.17526018189156667
D243916	4-5	404284	400097	61014	0.15249801923033665
D243918	0-1	1016065	999160	192525	0.19268685695984628
D243918	1-2	536152	530452	98170	0.18506858301976428
D243918	2-3	421585	416980	74732	0.17922202503717205
D243918	3-4	536380	529825	92846	0.1752389940074553
D243918	4-5	404284	399814	61058.5	0.1527172635275403
D243930	0-1	1016065	994828	192112.5	0.19311127149617824
D243930	1-2	536152	525755	97759	0.18594021930366805
D243930	2-3	421585	413771	74453.5	0.17993890340309013
D243930	3-4	536380	528749	92447.5	0.1748419382353442
D243930	4-5	404284	399776	61256.5	0.15322705715200513
D243937	0-1	1016065	984445	189608.5	0.1926044624128316
D243937	1-2	536152	519313	96300	0.1854372988929605
D243937	2-3	421585	409146	73191.5	0.17888846524223626
D243937	3-4	536380	524557	91433.5	0.17430612879057947
D243937	4-5	404284	397007	60491.5	0.15236884991952282
D243940	0-1	1016065	990719	191350.5	0.19314306074679097
D243940	1-2	536152	523676	97163	0.18554029590815696
D243940	2-3	421585	412110	74307.5	0.18030986872436972
D243940	3-4	536380	527304	92375.5	0.17518452353860392
D243940	4-5	404284	398608	61112.5	0.15331478545337776
D243950	0-1	1016065	998950	192561.5	0.19276390209720207
D243950	1-2	536152	528761	98206.5	0.1857294694578458
D243950	2-3	421585	415954	74878	0.180015097823317
D243950	3-4	536380	530203	92781.5	0.17499240856803902
D243950	4-5	404284	400355	61046.5	0.15248092318067716
D244001	0-1	1016065	1000178	193336	0.19330159231656766
D244001	1-2	536152	529887	98584	0.18604721383993192
D244001	2-3	421585	416870	75025.5	0.17997337299397895
D244001	3-4	536380	530739	92597	0.1744680530354845
D244001	4-5	404284	400873	61619	0.15371202350869229
D244005	0-1	1016065	977023	187909.5	0.1923286350474861
D244005	1-2	536152	516158	95623.5	0.18526013352500592
D244005	2-3	421585	406434	72965	0.17952484290192258
D244005	3-4	536380	520814	91013	0.17475144677370424
D244005	4-5	404284	393782	60114.5	0.15265933943146207
D244017	0-1	1016065	979772	188455	0.1923457702404233
D244017	1-2	536152	519837	96456	0.1855504706282931
D244017	2-3	421585	408872	73299.5	0.17927248625486705
D244017	3-4	536380	521535	91061	0.1746018963252706
D244017	4-5	404284	394070	60030.5	0.1523346106021773
D244025	0-1	1016065	1001272	193411	0.19316529374635463
D244025	1-2	536152	531301	98760.5	0.18588427275687416
D244025	2-3	421585	417674	75247	0.18015725182798067
D244025	3-4	536380	529922	93001	0.1754994131211763
D244025	4-5	404284	399698	61028	0.15268527738442525
D244027	0-1	1016065	996655	192446.5	0.19309239405812442
D244027	1-2	536152	527248	97881	0.18564508542469577
D244027	2-3	421585	414843	74856.5	0.1804453733099028
D244027	3-4	536380	529065	92490	0.17481783901789005
D244027	4-5	404284	399735	61031.5	0.15267990043403756
D244029	0-1	1016065	1001560	193410	0.19310875034945485
D244029	1-2	536152	531154	98714.5	0.18584911343979335
D244029	2-3	421585	417646	75388.5	0.18050813368259244
D244029	3-4	536380	530712	92777	0.1748160961123924
D244029	4-5	404284	400227	61083.5	0.1526221369372881
D244032	0-1	1016065	961098	184794.5	0.19227435703747173
D244032	1-2	536152	505983	93385.5	0.18456252482790925
D244032	2-3	421585	398565	71655	0.17978246960972488
D244032	3-4	536380	517623	90456	0.17475266748193183
D244032	4-5	404284	393621	60153.5	0.15282086067562453
D244033	0-1	1016065	995200	191684	0.19260852090032154
D244033	1-2	536152	526235	97276	0.1848527749009473
D244033	2-3	421585	414386	74367.5	0.17946431587939746
D244033	3-4	536380	528744	92157	0.17429417638781716
D244033	4-5	404284	399530	60888	0.1523990689059645
D244042	0-1	1016065	1001490	192859	0.19257206761924733
D244042	1-2	536152	530398	98210	0.18516283998054292
D244042	2-3	421585	417070	74873.5	0.17952262210180545
D244042	3-4	536380	530891	92674	0.17456314007960202
D244042	4-5	404284	400411	61118	0.15263816428619592
D244045	0-1	1016065	998851	192453.5	0.1926748834410738
D244045	1-2	536152	529465	98353	0.18575920976835106
D244045	2-3	421585	416413	75116	0.1803882203485482
D244045	3-4	536380	529970	92547.5	0.17462780912127102
D244045	4-5	404284	400072	60976.5	0.15241381551320762
D244054	0-1	1016065	1001364	193754	0.193490079531519
D244054	1-2	536152	529992	98361.5	0.18559053721565608
D244054	2-3	421585	416701	75186.5	0.18043273234285495
D244054	3-4	536380	530439	93095.5	0.17550651441541817
D244054	4-5	404284	400386	61028.5	0.15242416068493903
D244055	0-1	1016065	999917	192730	0.19274599791782718
D244055	1-2	536152	528833	97920	0.18516242367628344
D244055	2-3	421585	415948	74483.5	0.17906925865733217
D244055	3-4	536380	529576	92764.5	0.17516749248455368
D244055	4-5	404284	399937	61055	0.15266154419321043
D244073	0-1	1016065	999773	193044	0.19308783093762283
D244073	1-2	536152	530200	98483	0.18574688796680497
D244073	2-3	421585	417042	75033	0.17991713064871165
D244073	3-4	536380	530234	92821	0.175056673091503
D244073	4-5	404284	400348	61233	0.15294943399242658
D244077	0-1	1016065	1001484	193846	0.19355875880193793
D244077	1-2	536152	529390	98329	0.1857401915412078
D244077	2-3	421585	416627	74875.5	0.17971830918303422
D244077	3-4	536380	530685	92943.5	0.17513873578488182
D244077	4-5	404284	400634	61215.5	0.15279656744060663
D244083	0-1	1016065	995312	192314	0.19321981449033068
D244083	1-2	536152	525969	97670	0.18569535466919154
D244083	2-3	421585	413928	74576	0.18016659902205215
D244083	3-4	536380	528402	92477	0.1750125851151207
D244083	4-5	404284	399260	60843	0.1523894204277914
D244086	0-1	1016065	997456	192871	0.1933629152564123
D244086	1-2	536152	527572	97784	0.18534721327136391
D244086	2-3	421585	415115	74511	0.17949483877961528
D244086	3-4	536380	529841	92526	0.17462974741479048
D244086	4-5	404284	400227	61170.5	0.15283951357604558
D244087	0-1	1016065	1001314	193405.5	0.19315169866795032
D244087	1-2	536152	530232	98336.5	0.18545938381689525
D244087	2-3	421585	416944	75012.5	0.17991025173644423
D244087	3-4	536380	531213	93174.5	0.17539951017765001
D244087	4-5	404284	401167	61166.5	0.15247141464776515
D244090	0-1	1016065	1000561	193359	0.1932505864210178
D244090	1-2	536152	530274	98678.5	0.18608964422166654
D244090	2-3	421585	416833	75119	0.180213658707444
D244090	3-4	536380	530102	92732	0.17493237150586113
D244090	4-5	404284	399978	61013	0.1525408897489362
D244112	0-1	1016065	999830	192722.5	0.19275526839562726
D244112	1-2	536152	529901	98409	0.18571204809955066
D244112	2-3	421585	416722	75073.5	0.18015247575122023
D244112	3-4	536380	530278	92725.5	0.17486205348892467
D244112	4-5	404284	400061	61080.5	0.15267796661009195
D244123	0-1	1016065	991281	190895.5	0.19257455756743042
D244123	1-2	536152	523963	97250.5	0.18560566299528783
D244123	2-3	421585	412279	74089.5	0.17970718857860818
D244123	3-4	536380	527418	92310	0.17502246794762408
D244123	4-5	404284	399074	60985.5	0.15281752256473738
D244139	0-1	1016065	986213	190266.5	0.19292637594515585
D244139	1-2	536152	520700	96504	0.1853351257922028
D244139	2-3	421585	409749	73779	0.18005901173645328
D244139	3-4	536380	525816	91913.5	0.1748016416389003
D244139	4-5	404284	398130	60683	0.15242006379825684
D244143	0-1	1016065	999286	193042.5	0.1931804308276109
D244143	1-2	536152	528178	98088	0.18571012045181737
D244143	2-3	421585	415492	74777.5	0.17997338095559
D244143	3-4	536380	529695	92377.5	0.17439753065443322
D244143	4-5	404284	400273	61076.5	0.15258710929790417
D244144	0-1	1016065	985772	189470.5	0.1922051955218854
D244144	1-2	536152	520170	96231.5	0.18500009612242152
D244144	2-3	421585	409295	73471.5	0.17950744572985255
D244144	3-4	536380	525321	91819.5	0.17478741569440398
D244144	4-5	404284	397730	60527.5	0.15218238503507406
D244147	0-1	1016065	1001381	193740	0.1934728140438055
D244147	1-2	536152	531261	98963.5	0.1862803781945221
D244147	2-3	421585	417605	75074	0.17977275176302965
D244147	3-4	536380	529863	92690.5	0.1749329543674497
D244147	4-5	404284	399733	60998	0.15259685840298398
D244162	0-1	1016065	984549	190209.5	0.19319454897623176
D244162	1-2	536152	520814	96579.5	0.1854395235151129
D244162	2-3	421585	409847	73876.5	0.18025385082725992
D244162	3-4	536380	524206	91399.5	0.1743579814042571
D244162	4-5	404284	395982	60257	0.1521710582804269
D244163	0-1	1016065	985827	190101	0.1928340368036177
D244163	1-2	536152	520355	96131.5	0.18474214718797743
D244163	2-3	421585	409460	73419	0.17930689200410296
D244163	3-4	536380	523857	91430.5	0.17453331729842303
D244163	4-5	404284	396193	60075	0.15163064466055684
D244168	0-1	1016065	1000284	193044.5	0.1929896909277765
D244168	1-2	536152	529619	98082.5	0.1851944511054173
D244168	2-3	421585	416516	75149	0.1804228408992692
D244168	3-4	536380	530451	92563.5	0.17449962390494125
D244168	4-5	404284	400247	61112	0.152685716570018
D244179	0-1	1016065	954039	183523.5	0.1923647775405408
D244179	1-2	536152	501259	93112	0.1857562657229097
D244179	2-3	421585	394931	70954.5	0.17966302974443638
D244179	3-4	536380	514702	90106	0.17506440620009248
D244179	4-5	404284	391972	60142	0.15343442898982582
D244183	0-1	1016065	1000949	193430	0.1932466089680893
D244183	1-2	536152	529518	98509.5	0.18603616874213907
D244183	2-3	421585	416280	75030	0.18023926203516863
D244183	3-4	536380	529139	92557.5	0.1749209564972531
D244183	4-5	404284	399382	60861.5	0.15238919130055936
D244186	0-1	1016065	997529	191979	0.1924545552059138
D244186	1-2	536152	527537	97711.5	0.18522207920960995
D244186	2-3	421585	414923	74663	0.179944230616283
D244186	3-4	536380	529040	92392.5	0.17464180402238016
D244186	4-5	404284	399540	60801	0.1521775041297492
D247994	0-1	1016065	977920	188056	0.1923020287958115
D247994	1-2	536152	517255	95641.5	0.18490203091318597
D247994	2-3	421585	407038	73303.5	0.18009006530102842
D247994	3-4	536380	521705	91017	0.17446066263501403
D247994	4-5	404284	394958	60239	0.15252001478638236
